tipo,num_pro,ano,id_votacao,resumo,data,hora,objetivo,sessao
PL,2020,2015,1,Aprovada a Emenda de Plenário nº 1. Sim: 307; não: 120; abstenção: 1; total: 428.,4/8/2015,67380,DTQ 1: PSDB - EMENDA DE PLENÁRIO Nº 1,5614
REQ,2027,2015,1,Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 192; não: 211; abstenção: 2; total: 405.,10/9/2015,45420,URGÊNCIA PARA APRECIAÇÃO DO PDC Nº 1.408/2013,5657
REQ,2027,2015,2,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 192; não: 211; abstenção: 2; total: 405.,10/9/2015,45420,URGÊNCIA PARA APRECIAÇÃO DO PDC Nº 1.408/2013,5657
PEC,209,2012,1,Rejeitado o Substitutivo apresentado pela Comissão Especial à Proposta de Emenda à Constituição nº 209 de 2012. Sim: 139; não: 304; abstenções: 03; total: 446.,30/9/2015,72900,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5680
REQ,2118,2015,1,NA,10/9/2015,47220,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 1.780/2015,5657
PEC,215,2003,1,Aprovado. em primeiro turno. o Substitutivo adotado pela Comissão Especial à Proposta de Emenda à Constituição nº 215 de 2003. Sim: 442; abstenção:1; total: 443.,20/10/2015,77160,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5701
PEC,215,2003,2,Aprovada. em segundo turno. a Proposta de Emenda à Constituição nº 215 de 2003. Sim: 435; não: 1; total: 436.,3/11/2015,75480,PROPOSTA DE EMENDA À CONSTITUIÇÃO - SEGUNDO TURNO,5715
PL,2211,2007,1,Rejeitado o Requerimento. Sim: 30; não: 328; total: 358.,25/2/2015,74280,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,5452
PEC,233,2016,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição n° 233. de 2016. Sim: 355; abstenção: 1; total: 356.,30/11/2016,62040,PROPOSTA DE EMENDA À CONSTITUIÇÃO - PRIMEIRO TURNO,6076
PEC,233,2016,2,Aprovada. em segundo turno. a Proposta de Emenda à Constituição n° 233. de 2016. Sim: 359; Total: 359.,30/11/2016,65820,PROPOSTA DE EMENDA À CONSTITUIÇÃO - 2º TURNO,6076
PDC,238,2015,1,Rejeitado o Requerimento. Sim: 150; não: 191; abstenção: 2; total: 343.,5/11/2015,44580,REQUERIMENTO DE RETIRADA DE PAUTA,5718
REQ,2409,2015,1,Aprovado o Requerimento de Urgência (Art. 155 do RICD).Sim: 385; não: 30; abstenção: 1; total: 416.,25/8/2015,69360,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5.230/2013,5637
